Covariate,Beta,logLB,logUB
age,0.39542719979354324,-1.006041965079707,1.7968963646667935
size,1.5495356369549902,0.44200809268488644,2.657063181225094
grade,0.42747956677807253,0.14181056112948587,0.7131485724266592
nodes,0.05294174054465166,0.03426424602811878,0.0716192350611845
prog_recp,-12.725738283541551,-18.250386914357616,-7.201089652725487
estrg_recp,-0.32452245991457407,-1.5506500548862014,0.9016051350570532
