Covariate,Beta,HR,p.val,LB,UB,logLB,logUB
sex,-0.031197668761806924,0.9692839569787762,0.7481666518521349,0.8011954433180485,1.1726369602971876,-0.22165036252810394,0.15925502500449001
obstruct,0.23313154474118192,1.2625475498948477,0.051990818762687276,0.997991974767472,1.597233601118771,-0.0020100440181629077,0.4682731335005268
perfor,-0.024109218960753385,0.9761790866700286,0.9292513926070102,0.5733153839132006,1.6621315875874059,-0.5563193054609649,0.5081008675394582
adhere,0.18087942057380973,1.1982706837903103,0.17269606388959238,0.9239398445659266,1.5540542385699054,-0.07910831274339288,0.4408671538910124
surg,0.24643764218854522,1.279459396442157,0.02040160360368887,1.0388802960575236,1.5757506936617132,0.03814349475559371,0.45473178962149685
