Covariate,HR,LB,UB
CEBPA,1.4705879546270069,0.6623467567391561,3.2651008105497907
CHEK2,0.7743905001014404,0.40272016166980357,1.4890753027136654
CRIPAK,1.1212354002760214,0.3608704109439242,3.483712669996327
CTCF,0.8297081405447227,0.3954951081833255,1.7406425117326034
CTNNB1,0.7183296024139741,0.3536902603410828,1.4588963156820145
DNMT3A,2.08171552127944,1.4318686509735785,3.026492345222589
EGFR,1.3993761974311267,1.0736415046882626,1.82393632640477
EGR3,0.1448386609322844,0.017485683377891824,1.1997379368759051
EIF4A2,0.8767781552559549,0.35583327620189503,2.1603936026990986
ELF3,0.7858032832157668,0.275893532558426,2.238134378093525
EP300,0.8522433297298857,0.5200266271009628,1.3966951983173517
EPHA3,0.6125328111651855,0.33618600378250735,1.1160382661160844
EPHB6,1.1799634746495966,0.6791815656706787,2.0499876202209144
EPPK1,1.4622041429766146,0.8847033811564098,2.4166754657852767
ERBB4,1.1549010039455025,0.6228736215937537,2.1413594711259893
ERCC2,0.08794271622256045,0.010430005733029562,0.7415069113634472
EZH2,2.2690933829951314,1.1572447748309533,4.449175224406961
FBXW7,1.6008417053409458,1.0458619099085615,2.450317906484386
FGFR2,1.4727115982185384,0.7414723960435631,2.925098038848604
FGFR3,0.764701309321333,0.3614597728256754,1.6177957726980106
FLT3,1.251124385707611,0.8191649122586687,1.9108633745020156
FOXA1,1.8154167198648767,0.7348768991216489,4.484748222054785
FOXA2,0.5017952393581845,0.06746341859088693,3.7323703349440245
GATA3,1.0927008709342558,0.6217543921120707,1.9203647107092159
H3F3C,2.930383274368251,0.9828560404481542,8.736931739038507
HGF,0.7147999102125172,0.37319196043002434,1.3691048195440072
HIST1H1C,3.46783188764216,1.752571038528797,6.86183768678669
HIST1H2BD,0.6423256876498508,0.2134212627049679,1.93318268192052
IDH1,0.46305988584353863,0.27317138614948033,0.7849447956459731
IDH2,1.1823224686556173,0.5974394063475685,2.33979614507496
KDM5C,1.2817219908460464,0.8376007197588283,1.961329811525675
KDM6A,1.1379873158850442,0.6710883770719261,1.929723677774932
KEAP1,1.335245879112786,0.8349902278573745,2.135212482980354
KIT,0.8002093421448131,0.45748710372819146,1.3996787800957973
KRAS,0.7809938700727032,0.48223149771658425,1.2648518978526313
LIFR,1.3827502468297708,0.7667644706568048,2.493592645822502
LRRK2,0.8689259944963582,0.5715339407033664,1.3210630727937065
MALAT1,1.3011496415619377,0.8783994084025857,1.9273582991313125
MAP2K4,1.1053869804806848,0.5154170786607238,2.3706633466457463
MAP3K1,0.9080813568806468,0.5602747793791956,1.4717988049147883
MAPK8IP1,0.8221534027673907,0.2946482664457747,2.294044440972113
MECOM,1.1476084259655903,0.6349295524092076,2.0742538984835592
MIR142,0.8672720701448338,0.2665717025692982,2.8216079816565416
MLL2,0.9825196270310086,0.7148748782002441,1.3503689204067244
MLL3,0.9536494323133089,0.70322274433178,1.2932562933749765
MLL4,0.8681412985993623,0.46882879640792496,1.6075576417409827
MTOR,1.1920540597863525,0.8089117293852963,1.7566723658871382
NAV3,1.249579123819485,0.8453238091301255,1.847159597092467
NCOR1,1.2813231923337631,0.7852266571511768,2.0908474110759823
NF1,0.9993645996005932,0.7330799690298343,1.3623747000706938
