Covariate,Beta,HR,p.val,LB,UB,logLB,logUB
Gender.female,-0.09995336829151492,0.904879613134471,0.24549618451893965,0.7644188130237115,1.0711498727085766,-0.2686394554278885,0.0687327188448587
Years.to.birth,2.1244951592890966,8.368671575403182,2.6333926564730457e-21,5.3929488170507165,12.98633944300283,1.6850923256834482,2.563897992894745
Date.of.initial.pathologic.diagnosis,-0.6022022195295088,0.5476043622199667,0.0047217899349498126,0.36061558398676463,0.8315517987523866,-1.0199427523226563,-0.18446168673636137
Somatic.mutations,-10.601019874963436,2.4890611470715947e-5,0.25380817824222496,3.0800565910914876e-13,2011.4647931406555,-28.808658238374903,7.60661848844803
Nonsilent.somatic.mutations,7.92068524285308,2753.657323377747,0.40508151221352506,2.1982257438290484e-5,344943128606.248,-10.725274910063675,26.566645395769832
Tumor.stage,1.372361168368794,3.9446536997102917,7.743454909424353e-23,3.001003582681277,5.1850297348647585,1.0989467602866667,1.6457755764509212
TCGA.tumor.type_brca,-2.218198858402438,0.1088049054845587,9.659293915031696e-14,0.06068114337472598,0.19509367818594125,-2.802122281984436,-1.6342754348204402
TCGA.tumor.type_coadread,-1.9089656220470028,0.14823363692834687,2.4282908543497863e-5,0.06109705847127694,0.3596443374984256,-2.7952915568231167,-1.022639687270889
TCGA.tumor.type_gbm,0.6662152277547786,1.9468549565599382,0.016991733569401667,1.1265505845924582,3.36446873644219,0.11916038409190338,1.2132700714176536
TCGA.tumor.type_hnsc,-1.4222992531599672,0.24115889360892268,2.3228475045661832e-7,0.1406688945025909,0.4134361912228472,-1.9613464160435061,-0.8832520902764283
TCGA.tumor.type_kirc,-1.6244257018067452,0.1970247937022601,4.8053645031557024e-8,0.10995141122821418,0.3530538526044586,-2.207716726882162,-1.0411346767313283
TCGA.tumor.type_laml,-0.05249971316958644,0.9488545932161176,0.8653661527080017,0.5171638930707685,1.7408892057824383,-0.6593954468362605,0.5543960204970876
TCGA.tumor.type_luad,-0.7080392246163433,0.49260914701637465,0.02656799945806756,0.26348427718222334,0.9209800839705367,-1.3337615819186661,-0.0823168673140203
TCGA.tumor.type_lusc,-0.6047963086186476,0.5461856686231249,0.03203849592368357,0.31420917626157263,0.9494273469624761,-1.1576963484261218,-0.05189626881117354
TCGA.tumor.type_ov,-1.4029961695819273,0.24585922336907373,9.038141080798261e-7,0.14045472022894137,0.430364729765691,-1.962870118100986,-0.8431222210628685
TCGA.tumor.type_ucec,-2.5082295561707184,0.08141224753525454,1.199985357552878e-10,0.03794306081003312,0.1746815862306227,-3.2716686427152712,-1.7447904696261656
ACVR1B,0.601679665670401,1.8251819225773482,0.11461080047148932,0.86438830616595,3.853926559093901,-0.14573318270797786,1.3490925140487797
ACVR2A,-0.8041037992181433,0.44748878670745657,0.29197112614376286,0.10029423526512782,1.9965874778302135,-2.299647060589944,0.6914394621536574
AJUBA,0.2590335381583383,1.2956772587284209,0.42698590548668425,0.6837979225653092,2.4550813966909297,-0.3800928398550971,0.8981599161717737
AKT1,-0.32784273155927507,0.7204763189831331,0.5895971140177977,0.21892017850623735,2.371120514140709,-1.5190480973119167,0.8633626341933663
APC,0.2044993018743525,1.2269105993077034,0.3280598642702943,0.814389995391419,1.848389134458968,-0.2053159178985912,0.6143145216472962
AR,0.7427041139159024,2.1016108327812515,0.04874830766883989,1.0040868458369303,4.398790912136711,0.004078517366222213,1.4813297104655825
ARHGAP35,-0.10320329856707408,0.9019435910018181,0.6564026268174532,0.57242677322234925,1.4211463883316025,-0.5578704587697426,0.3514638616355944
ARID1A,-0.052832425539317746,0.94853895006798,0.8097212613238515,0.6170029070698037,1.4582202603694971,-0.48288154346742157,0.37721669238878613
ARID5B,0.10002449554873695,1.1051979901753055,0.7617407333453671,0.5789326337269367,2.1098527295382317,-0.5465691575272391,0.7466181486247128
ASXL1,-0.1691382142989041,0.844392188246071,0.594340515296898,0.45311187008286413,1.5735587934180506,-0.7916162301618724,0.4533398015640643
ATM,-0.04171007650371285,0.9591478197548506,0.8559740583824739,0.6113282278204399,1.5048618700635175,-0.49212126630746694,0.4087011133000412
ATR,0.10270104004090458,1.108160064061606,0.6588800815370921,0.7023916483917966,1.7483390219583443,-0.3532641268347133,0.5586662069165225
ATRX,0.041382003863029544,1.0422501731013347,0.8569052450263734,0.6646953385237429,1.6342606309566592,-0.40842648086163935,0.4911904885876985
AXIN2,-0.29877657453129225,0.7417251112039466,0.5394381748755616,0.2856373048966636,1.9260654373893478,-1.2530324376606,0.6554792885980154
B4GALT3,0.6475874033443593,1.9109249719556547,0.5590060403154179,0.21770861523903765,16.773035115924714,-1.524597737620033,2.819772544308752
BAP1,0.6356541656716813,1.8882569704127035,0.0017609111159919634,1.2678749456777387,2.8121972111423226,0.23734222786889803,1.0339661034744645
BRAF,-0.5127574403769662,0.5988420288874506,0.12479517421193254,0.3111465599745009,1.1525493824885198,-1.1674912238708646,0.14197634311693202
BRCA1,-0.0718503970391243,0.9306701164020521,0.757831932525149,0.5894391507717827,1.469442374890977,-0.528583786093627,0.3848829920153783
BRCA2,-0.3858838228442909,0.6798495040741832,0.1142764277940531,0.4211397119452046,1.097486974227807,-0.8647906430001974,0.09302299731161551
CBFB,0.19723457523846533,1.2180297268107798,0.6956473779626755,0.45342295333871707,3.2719923075585085,-0.7909299172701305,1.1853990677470612
CCND1,0.025242591600349546,1.0255638835330676,0.9633005178290753,0.3499356029245767,3.0056423822474647,-1.0500061330712833,1.1004913162719825
CDH1,-0.08719743671616374,0.9164961277830449,0.7677466974292919,0.513812078204684,1.634771131064583,-0.6658976869830346,0.491502813550707
CDK12,-0.22146951719403707,0.8013403488780004,0.4063606383066297,0.4750906358304489,1.3516291551767938,-0.7442496808752131,0.301310646487139
CDKN1A,0.9422413541138595,2.565725678268199,0.03310265952316755,1.0784862485457474,6.103877787038444,0.07555843622869425,1.8089242719990246
CDKN1B,0.955074510763757,2.598864219063307,0.015225507068568653,1.2017499912006726,5.620216582967887,0.18377882046983823,1.726370201057676
CDKN2A,0.0817597918344659,1.0851951057935743,0.6372724205594594,0.7725229295935626,1.5244187227658181,-0.25809358832898405,0.4216131719979158
CDKN2C,0.5523069176875074,1.7372561055327835,0.2899373921173485,0.6246266453614588,4.831780390131201,-0.4706011751624079,1.5752150105374225
CEBPA,0.38566228995833113,1.4705879546270069,0.34330019679905754,0.6623467567391561,3.2651008105497907,-0.41196605846058454,1.1832906383772468
CHEK2,-0.2556790105260065,0.7743905001014404,0.4434173927789953,0.40272016166980357,1.4890753027136654,-0.9095133461505268,0.3981553250985138
CRIPAK,0.11443111337055173,1.1212354002760214,0.8431729488033303,0.3608704109439242,3.483712669996327,-1.0192363575497947,1.2480985842908983
CTCF,-0.1866812779285205,0.8297081405447227,0.6214335245822927,0.3954951081833255,1.7406425117326034,-0.9276168605403639,0.5542543046833228
CTNNB1,-0.3308267589811431,0.7183296024139741,0.3600992667190235,0.3536902603410828,1.4588963156820145,-1.0393337196466357,0.37768020168434957
DNMT3A,0.7331923236233615,2.08171552127944,1.2295862348127296e-4,1.4318686509735785,3.026492345222589,0.35898034015107205,1.107404307095651
EGFR,0.33602656406046816,1.3993761974311267,0.012934765626632247,1.0736415046882626,1.82393632640477,0.07105614584743652,0.6009969822734997
